AV1,AV2,AV3,DD_factor,DP_rule,throughput,avgWIP,avgFT,avgTardi,avgLate,Uti_A,Uti_B,Uti_C,Uti_D
45,65,30,1.7434791527494262,1,491,2.2346566074132577,32.751953235143255,1.0349211865933634,-11.051628899921731,0.24722222222222223,0.4488888888888889,0.4599013181539498,0.559762429265061
84,41,50,1.0811054885163722,3,405,1.5383346673929656,27.296164160346468,3.363779697390167,2.526836190115757,0.24319444444444444,0.3625521198320404,0.3690277777777778,0.31875
83,70,40,1.7117858861499102,2,391,1.6741996269300734,30.825776768682918,0.5634340377602226,-12.319107906527679,0.17666666666666667,0.36666666666666664,0.3807898314347926,0.445
66,64,44,1.1643040424919737,1,422,1.9126474733055236,32.61254104502246,5.482067163738143,3.893961001660129,0.21819444444444444,0.38618452702464856,0.39611111111111114,0.45146230480242633
79,58,83,1.2750033525809232,3,308,1.1296168485586195,26.406627628643054,1.0300662355003836,-3.208222969941132,0.19291666666666665,0.2698611111111111,0.2704166666666667,0.2604166666666667
24,63,64,1.6336204921619133,1,516,2.3836761778482956,33.122852311353846,2.200431198124677,-6.514606141876967,0.3741776562186007,0.4239732341580351,0.40212733780111737,0.5449454563802574
84,58,83,1.0368291135534053,3,322,1.1507841983497764,25.68676672320717,2.3232615806967245,1.8396971114788274,0.21291666666666667,0.2786663857376632,0.27666666666666667,0.2625
49,59,69,1.475805897834468,2,391,1.509855748210601,27.788270492486497,0.5709300430772618,-7.181912738808548,0.2584722222222222,0.3347222222222222,0.32913945045386894,0.36583333333333334
80,42,48,1.7563604519056786,2,384,1.5286104268238445,28.55608977685723,0.41976114439814527,-12.924204333383964,0.20694444444444443,0.35221778288595296,0.3640277777777778,0.3436066717748419
15,55,81,1.0677105146732973,2,690,3.8441041374202967,40.11239099916831,14.377150124641828,14.080370726198849,0.5596445436532347,0.5362499999999999,0.4838888888888888,0.7570833333333333
46,39,67,1.750191047560333,3,460,1.8213971825900828,28.50882546662742,0.28447484891706615,-11.985268705513077,0.3113888888888889,0.3925,0.38721877179338854,0.3883333333333333
43,75,55,1.0012833125677871,2,363,1.4454032926198261,28.604989698421686,3.715159204090081,3.6997912709436256,0.21473915969917173,0.3186855473632591,0.3179166666666667,0.40749776043863783
80,75,38,1.244991596043803,2,394,1.6827661878285882,30.7510572395072,2.4103977175105715,-0.9583099338418658,0.16694444444444445,0.3736111111111111,0.3898611111111111,0.4633333333333333
28,72,60,1.0723929710522997,2,509,2.277432218697115,32.11432993099994,6.419650166674151,5.805938910312265,0.35874280133291103,0.4210742166868709,0.4023539124440222,0.5582964389090931
36,48,81,1.0692291841504051,1,455,1.8633505551871783,29.450541994148956,4.957404078558561,4.263732333217022,0.3403629377561836,0.3723611111111111,0.3531135131387589,0.42602067046715675
14,80,59,1.8346516668815769,3,713,4.907481846781673,49.41474999502844,11.115255636394165,3.9756002257972898,0.5720595229500217,0.558023145320063,0.5035873007277996,0.8283009230978409
28,65,79,1.7859363494351017,2,446,1.8355167642516839,29.54833920757718,0.22034955872350853,-13.478311184082482,0.3365386350205256,0.36123154731643836,0.3388949986984525,0.46125
34,77,75,1.741260996158878,1,396,1.7409112724885638,31.652932227064824,1.653516350598785,-10.832077229720777,0.29194444444444445,0.3213888888888889,0.3011111111111111,0.42750000000000005
19,18,19,1.73727653281489,2,1080,46.494398939586546,292.4276517063042,251.53948421062907,251.39736233361032,0.6972433673176135,0.9687666704319784,0.9912666704319784,0.9826247233604795
30,73,54,1.3982760969542212,3,447,1.9193356729251136,30.770455321796273,1.7545755846873177,-3.792302161978139,0.3015277777777778,0.3761914028351551,0.3628580695018217,0.5004166666666666
47,48,32,1.4756797094119383,1,547,2.7085067087188848,35.618725675784134,4.092902508656393,-1.4729019744988279,0.27541666666666664,0.50125,0.5112687201398058,0.62375
47,52,61,1.5008999771388134,2,413,1.6531148804840836,28.809400609904383,1.0716881276500643,-6.445395221145486,0.25956321521684456,0.36069444444444443,0.35999999999999993,0.36791666666666667
48,14,30,1.3305764305424503,2,872,5.04306997750101,41.58505842182338,13.768356566042433,12.42071516843135,0.5666862634935727,0.7690277777777778,0.7799582975207767,0.5453309451347786
69,36,79,1.17118837822178,3,408,1.4864826380267349,26.23204655341295,2.214946120364593,0.25348081099361025,0.2823611111111112,0.34930555555555554,0.3465277777777778,0.27875
61,19,45,1.2810567050049735,1,646,2.748166660130962,30.585333432192485,4.727279266976401,2.386221442764073,0.42527777777777775,0.5669444444444445,0.5720269290483734,0.4163324846039289
48,15,55,1.8725753000373229,1,748,3.3479982053368618,32.17772507133825,2.5170171094650766,-7.196425087735272,0.5382584535169379,0.6410362312947157,0.6413888888888889,0.367630944264407
76,57,74,1.4318639026339592,3,289,1.058452053519892,26.36973974167205,0.3807902925172189,-7.49953928395338,0.17861111111111105,0.25305555555555553,0.2540277777777778,0.2654839938701357
31,62,82,1.549984370109608,3,431,1.7523006213257786,29.27277140033785,0.5777821078934567,-8.171398580128995,0.315,0.35333333333333333,0.33375,0.4467353047016583
39,28,70,1.9120027671607716,2,532,2.1225616454634415,28.726398209279623,0.2869900579484593,-14.40507774691676,0.38305555555555554,0.44680555555555557,0.43590655700614267,0.40208333333333335
32,76,48,1.6714893223267326,3,451,1.971825302131965,31.4792509431267,0.7456431965089514,-10.270920267539893,0.28263888888888894,0.38680555555555557,0.37722222222222224,0.5179166666666667
21,25,79,1.1079569848062847,1,769,4.299613677496579,40.236666123301944,15.38557321203508,14.948160275031492,0.6123611111111111,0.6165277777777778,0.5780532363051768,0.6335007681324238
23,58,17,1.1277875759371947,3,801,46.80417891346453,360.09467433413596,331.14206875969256,331.1087032656978,0.42222222222222217,0.7582401549822279,0.8400833843130427,0.9903234883155612
46,75,76,1.4262337184459009,3,352,1.3542824140567806,27.701231196615957,0.49523544703107586,-6.572947849787087,0.23555555555555563,0.29833333333333334,0.2901388888888889,0.3508333333333334
29,33,15,1.8848220267358515,3,849,37.468540901480566,297.66799760144653,251.46768359000075,249.93693332015005,0.4094350938983934,0.8114185207992912,0.8747518541326246,0.9858931140762144
19,48,28,1.2231797154520443,2,746,6.326868576491012,60.96799825589354,31.104503366729706,30.36227095210272,0.4585041269038749,0.6469256877062717,0.6347034654840494,0.8619256877062716
79,23,32,1.6458762073073636,2,645,2.869604589838482,32.01460134376003,2.370669628476825,-5.345512689088314,0.37027777777777776,0.5858333333333333,0.6027858671493471,0.4766666666666666
19,29,17,1.5127304001083766,1,913,36.54544768305319,238.9452417528483,201.8000781633012,201.51966204019988,0.5566982584628082,0.8419891388621301,0.9010169166399079,0.9965166039891916
45,21,72,1.5935359906139241,1,651,2.775875067341869,30.700922403780996,2.5537584147338666,-3.9578734350862046,0.4700000000000001,0.5511111111111112,0.5437500000000001,0.40166666666666667
14,82,46,1.1087720927714293,2,715,4.645450191137806,46.71154214790749,19.44955137221336,19.065124148006642,0.5445833333333333,0.5704166666666667,0.5231803665017467,0.8427328343212778
18,56,57,1.8965301497428735,2,641,3.168518527439675,35.56174715324396,1.1524851720334606,-10.898803457383652,0.4797222222222222,0.5188350273153223,0.48347222222222225,0.7050850273153223
